Index,frame
0,75.5557
1,74.938
2,74.7654
3,75.5571
4,75.589
5,75.3511
6,75.7145
7,75.4243
8,75.541
9,75.2667
10,75.4876
11,75.9058
12,76.0791
13,75.8515
14,75.7199
15,75.7173
16,75.7836
17,76.1228
18,76.2578
19,76.5378
20,75.7975
21,75.5222
22,75.9578
23,75.3584
24,76.2324
25,75.7214
26,75.696
27,76.3334
28,76.4913
29,76.459
30,76.5857
31,76.3225
32,76.4997
33,77.4774
34,77.3395
35,76.6476
36,76.3387
37,76.9883
38,76.7981
39,76.4253
40,76.3885
41,76.6031
42,76.3385
43,76.6276
44,76.6832
45,76.0304
46,76.2943
47,76.4959
48,77.2135
49,76.5565
50,76.9486
51,76.196
52,75.7973
53,76.9216
54,76.2842
55,76.4243
56,76.2416
57,76.7801
58,76.1228
59,76.237
60,76.7614
61,76.8856
62,77.1365
63,76.6545
64,76.4969
65,76.7798
66,76.6648
67,76.4565
68,76.74
69,76.5894
70,77.095
71,76.9153
72,77.161
73,77.1733
74,77.273
75,77.305
76,77.2382
77,76.7726
78,77.1637
79,77.1099
80,77.1919
81,77.6885
82,77.2529
83,77.9692
84,77.1813
85,77.452
86,77.6114
87,77.1613
88,77.1499
89,77.2179
90,76.1975
91,77.0944
92,77.314
93,76.7014
94,76.7638
95,77.0656
96,77.4144
97,77.3156
98,77.4665
99,77.2525
100,77.5636
101,77.3483
102,77.4631
103,77.443
104,77.819
105,77.9983
106,77.4323
107,77.4558
108,77.5657
109,77.595
110,77.5911
111,77.951
112,78.6139
113,77.7056
114,77.917
115,78.0633
116,78.3685
117,77.8747
118,77.5979
119,77.8734
120,78.1763
121,78.2035
122,78.1729
123,78.3523
124,78.1272
125,77.8588
126,78.1069
127,78.3829
128,78.4743
129,78.0115
130,77.1987
131,77.5247
132,76.4941
133,77.4545
134,77.3531
135,76.5804
136,77.2295
137,77.8989
138,77.6117
139,77.4479
140,77.6729
141,77.5579
142,77.4677
143,77.3335
144,77.2642
145,77.7593
146,77.537
147,77.348
148,77.1896
149,77.1766
150,78.2603
151,77.9275
152,77.0342
153,77.9036
154,77.6542
155,77.2328
156,77.4758
157,77.3566
158,77.3769
159,77.3039
160,76.4834
161,77.0535
162,77.1396
163,77.279
164,76.0836
165,76.7181
166,77.1395
167,76.7017
168,77.1139
169,77.2156
170,77.2028
171,76.9613
172,76.6782
173,77.1018
174,76.912
175,76.8141
176,76.6361
177,77.0653
178,77.1383
179,77.2358
180,76.6906
181,76.5868
182,76.5265
183,76.1357
184,76.0713
185,76.191
186,76.0767
187,76.4614
188,76.4728
189,76.9637
190,77.2571
191,76.7243
192,76.7632
193,76.8544
194,76.9761
195,77.6337
196,77.1374
197,76.4001
198,76.4177
199,76.9081
200,76.5975
201,76.3271
202,76.6604
203,76.3281
204,76.7311
205,76.7315
206,76.4564
207,76.7688
208,76.5038
209,76.1464
210,76.8804
211,77.0084
212,77.2506
213,76.1259
214,76.6891
215,77.3323
216,77.1815
217,76.8167
218,77.0363
219,76.9564
220,77.7554
221,77.3976
222,77.3901
223,76.9364
224,78.2355
225,77.3165
226,77.6802
227,77.9639
228,77.1835
229,76.9749
230,77.2854
231,77.4717
232,77.7498
233,77.698
234,77.7417
235,77.4271
236,77.7642
237,77.7334
238,78.1292
239,77.7235
240,77.6271
241,77.2767
242,77.0606
243,77.7969
244,78.0464
245,78.0985
246,77.9467
247,77.2308
248,77.2481
249,77.1362
250,77.1303
251,77.5425
252,78.4346
253,77.1843
254,76.488
255,76.4213
256,76.7065
257,77.6943
258,77.6049
259,76.9465
260,76.9325
261,77.2475
262,77.1867
263,77.8199
264,77.5714
265,77.1773
266,77.6894
267,77.1303
268,77.7708
269,78.1855
270,77.3073
271,77.2733
272,77.0337
273,78.1137
274,77.5819
275,77.2523
276,77.1165
277,77.3017
278,76.8904
279,76.3058
280,76.7316
281,76.8636
282,76.6414
283,77.3679
284,76.8046
285,77.3471
286,77.0191
287,76.876
288,77.3036
289,77.4557
290,77.2018
291,77.1212
292,77.0471
293,76.8908
294,76.2685
295,76.8082
296,77.2173
297,76.923
298,77.0253
299,76.7772
