Index,frame
0,85.2122
1,85.0491
2,85.1792
3,85.5609
4,85.3217
5,85.3649
6,85.1871
7,83.857
8,84.9847
9,84.9449
10,85.0954
11,84.9108
12,84.9121
13,85.059
14,85.28
15,84.9802
16,85.2556
17,86.3251
18,85.5677
19,87.8546
20,87.0642
21,86.6054
22,85.8915
23,85.1031
24,85.4548
25,85.0621
26,84.4993
27,83.8703
28,83.6335
29,84.4595
30,84.3029
31,84.3316
32,84.0714
33,84.1089
34,84.2211
35,84.3171
36,84.0389
37,84.7065
38,84.6604
39,85.0683
40,84.9114
41,84.6657
42,84.8688
43,84.8167
44,84.8196
45,84.6971
46,85.0071
47,83.3702
48,84.5556
49,83.9726
50,83.0894
51,83.1108
52,83.2036
53,82.8007
54,84.251
55,83.0215
56,82.7316
57,82.9366
58,82.9463
59,82.7717
60,82.7992
61,83.1709
62,83.2455
63,83.0209
64,82.9964
65,82.9686
66,83.3046
67,83.0785
68,82.9596
69,83.325
70,83.2841
71,82.3697
72,82.9208
73,82.5946
74,82.2282
75,82.0634
76,81.8565
77,81.78
78,81.5462
79,81.0622
80,80.9136
81,79.825
82,80.8562
83,81.2277
84,79.7906
85,81.1023
86,81.6385
87,80.9654
88,80.6463
89,79.0702
90,78.7055
91,79.391
92,80.2352
93,79.6335
94,80.4361
95,80.43
96,79.8093
97,80.2342
98,79.7123
99,78.9256
100,79.9679
101,79.1472
102,78.5529
103,78.3586
104,79.1932
105,78.453
106,77.8931
107,80.173
108,79.5293
109,79.2321
110,80.0338
111,79.7697
112,79.4414
113,78.8539
114,79.8256
115,79.3915
116,79.4506
117,79.0004
118,77.3891
119,78.0939
120,78.0474
121,76.2457
122,77.1278
123,77.9644
124,77.3798
125,77.5391
126,77.3997
127,78.5065
128,77.502
129,76.3097
130,77.089
131,77.5756
132,77.7291
133,77.2425
134,77.1671
135,76.9056
136,77.5046
137,77.0567
138,78.2384
139,78.3329
140,78.1785
141,79.4601
142,78.3072
143,78.3164
144,78.27
145,77.2483
146,78.2344
147,78.3111
148,78.6629
149,80.2401
150,80.1566
151,79.2263
152,79.615
153,79.5635
154,78.8746
155,78.626
156,78.9
157,79.1886
158,79.1443
159,79.733
160,78.425
161,79.4226
162,78.6323
163,79.992
164,78.7579
165,78.6746
166,79.9711
167,79.2044
168,78.6471
169,79.5356
170,79.1722
171,79.5088
172,79.7027
173,80.734
174,79.6437
175,80.2638
176,80.2052
177,80.537
178,81.9772
179,81.3687
180,81.7187
181,83.6202
182,82.5364
183,81.3664
184,82.187
185,82.0967
186,82.2889
187,82.5359
188,81.125
189,83.3635
190,82.4213
191,83.9715
192,83.0426
193,83.8707
194,84.3511
195,84.7067
196,84.0063
197,85.0082
198,83.8896
199,84.3503
200,84.5799
201,84.4769
202,84.6667
203,84.8374
204,86.2966
205,86.5148
206,85.1965
207,86.9356
208,86.227
209,85.7249
210,86.7276
211,86.8822
212,85.919
213,86.6239
214,86.3891
215,86.7537
216,87.505
217,85.9641
218,87.0242
219,87.1879
220,87.3654
221,87.4047
222,88.7662
223,87.589
224,87.4942
225,89.4316
226,88.3864
227,88.2349
228,88.3943
229,88.3755
230,88.8531
231,88.1144
232,88.8076
233,88.8769
234,88.6751
235,88.2377
236,88.9187
237,88.7834
238,89.3106
239,89.1436
240,89.0436
241,88.9572
242,88.2292
243,89.2311
244,88.9644
245,88.7909
246,89.0042
247,89.0505
248,90.5258
249,90.0474
250,90.0581
251,89.4965
252,88.9207
253,89.1114
254,89.2059
255,89.4434
256,89.824
257,89.4023
258,89.2548
259,89.3829
260,89.466
261,89.1746
262,89.2168
263,89.4066
264,89.1848
265,89.0231
266,89.4774
267,89.1764
268,90.1543
269,89.636
270,88.9237
271,89.4344
272,89.4183
273,89.5544
274,89.5375
275,89.357
276,88.7473
277,89.8636
278,89.581
279,89.5915
280,89.2682
281,90.0039
282,90.3318
283,90.2021
284,90.9684
285,90.2403
286,90.1722
287,90.6144
288,90.7444
289,90.247
290,90.5832
291,91.1479
292,90.4125
293,89.9699
294,90.871
295,90.9858
296,89.7953
297,90.6466
298,90.1753
299,90.4948
