Index,frame
0,143.751
1,144.54
2,141.123
3,142.141
4,140.052
5,141.093
6,142.622
7,144.097
8,143.951
9,144.022
10,144.032
11,143.369
12,144.214
13,144.016
14,143.998
15,143.997
16,144.055
17,144.799
18,143.989
19,144.102
20,143.115
21,143.952
22,144.042
23,144.13
24,144.098
25,143.872
26,144.153
27,143.758
28,144.157
29,143.905
30,143.953
31,144.086
32,144.028
33,144.089
34,144.214
35,145.143
36,144.203
37,144.006
38,144.107
39,144
40,143.888
41,143.996
42,143.636
43,143.165
44,144.664
45,143.489
46,144.569
47,145.104
48,146.383
49,146.192
50,145.917
51,143.034
52,143.776
53,143.993
54,143.561
55,145.07
56,143.514
57,144.762
58,143.264
59,144.402
60,144.633
61,144.123
62,147.536
63,147.275
64,147.744
65,146.442
66,145.344
67,143.848
68,143.992
69,143.375
70,144.02
71,144.059
72,143.673
73,143.72
74,143.737
75,143.71
76,143.718
77,143.784
78,143.522
79,143.982
80,144.643
81,144.056
82,143.755
83,143.341
84,144.138
85,144.166
86,143.824
87,144.018
88,144.216
89,144.931
90,144.095
91,144.093
92,143.994
93,143.844
94,143.858
95,143.567
96,143.866
97,143.972
98,143.827
99,144.76
100,144.385
101,144.232
102,144.27
103,144.886
104,143.572
105,144.402
106,143.566
107,145.04
108,143.088
109,144.206
110,143.395
111,145.087
112,143.199
113,144.085
114,143.985
115,144.039
116,144.897
117,143.477
118,144.634
119,142.972
120,143.756
121,143.06
122,144.208
123,143.526
124,144.146
125,144.585
126,143.354
127,144.064
128,143.318
129,144.333
130,143.985
131,144.879
132,144.266
133,144.211
134,144.255
135,144.312
136,143.589
137,143.976
138,144.48
139,144.071
140,144.262
141,143.975
142,144.236
143,144.274
144,143.842
145,143.988
146,143.277
147,144.322
148,143.641
149,143.945
150,143.522
151,143.954
152,144.037
153,144.203
154,144.108
155,143.934
156,144.166
157,144.067
158,144.073
159,143.853
160,144.029
161,142.465
162,144.09
163,143.977
164,143.991
165,143.975
166,144.228
167,143.48
168,144.865
169,143.99
170,144.624
171,144.039
172,145.112
173,143.863
174,144.564
175,143.122
176,144.029
177,144.763
178,144.016
179,144.809
180,144.756
181,144.949
182,143.735
183,144.371
184,143.846
185,144.176
186,144.485
187,144.088
188,144.658
189,144.194
190,144.243
191,143.584
192,143.951
193,143.667
194,143.853
195,143.9
196,144.365
197,143.9
198,144.098
199,143.855
200,143.393
201,143.888
202,143.525
203,144.212
204,143.368
205,143.984
206,144.872
207,143.995
208,144.218
209,143.062
210,143.671
211,143.548
212,143.497
213,143.119
214,143.78
215,144.357
216,143.459
217,143.451
218,143.307
219,144.097
220,143.74
221,145.302
222,143.989
223,143.882
224,144.388
225,144.295
226,144.16
227,143.527
228,143.487
229,143.88
230,143.989
231,143.998
232,143.176
233,144.346
234,143.908
235,144.89
236,143.036
237,140.813
238,142.616
239,144.165
240,143.209
241,144.031
242,144.196
243,144.11
244,144.425
245,143.388
246,144.289
247,143.649
248,144.072
249,144.185
250,143.151
251,143.815
252,143.918
253,144.195
254,144.142
255,143.976
256,143.965
257,144.051
258,144.027
259,144.082
260,144.549
261,144.094
262,144.174
263,143.006
264,144.165
265,144.012
266,143.849
267,144.186
268,144.158
269,144.633
270,144.762
271,144.216
272,144.338
273,144.759
274,143.977
275,144.162
276,144.497
277,144.343
278,144.635
279,143.804
280,144.169
281,143.716
282,144.07
283,143.201
284,143.865
285,143.92
286,144.036
287,144.943
288,144.431
289,144.104
290,143.997
291,143.881
292,144.256
293,143.821
294,143.187
295,144.131
296,144.924
297,147.3
298,145.547
299,144.068
