Index,frame
0,142.946
1,144.007
2,144.961
3,142.937
4,141.756
5,140.653
6,142.018
7,143.121
8,141.599
9,141.615
10,143.647
11,141.918
12,142.468
13,145.586
14,143.412
15,141.62
16,142.797
17,142.761
18,145.381
19,143.257
20,143.756
21,142.671
22,145.082
23,145.028
24,142.972
25,141.618
26,141.641
27,141.627
28,139.733
29,141.702
30,141.656
31,141.625
32,140.778
33,142.358
34,141.629
35,142.375
36,141.608
37,142.223
38,141.607
39,142.885
40,141.251
41,143.098
42,141.156
43,138.882
44,141.188
45,140.732
46,141.876
47,141.081
48,141.388
49,142.575
50,141.274
51,141.45
52,141.63
53,142.489
54,141.632
55,140.896
56,141.64
57,140.773
58,141.65
59,141.639
60,142.639
61,141.57
62,141.453
63,142.701
64,143.897
65,145.024
66,144.127
67,143.991
68,143.994
69,143.347
70,144.208
71,144.025
72,144.542
73,143.774
74,144.3
75,143.742
76,143.944
77,143.827
78,143.951
79,144.001
80,143.371
81,144.014
82,144.079
83,144.006
84,143.214
85,143.928
86,143.992
87,143.994
88,146.046
89,143.987
90,143.998
91,143.971
92,144.928
93,143.352
94,143.993
95,144.003
96,143.98
97,143.958
98,143.808
99,144.518
100,143.98
101,144.011
102,145.28
103,146.958
104,145.255
105,144.897
106,144.774
107,144.551
108,144.187
109,144.023
110,144.419
111,144.204
112,143.993
113,144.079
114,144.002
115,144.776
116,143.361
117,144.887
118,143.995
119,143.98
120,144.072
121,144.048
122,144.491
123,144.005
124,143.989
125,143.566
126,144.005
127,143.339
128,143.978
129,144.238
130,144.008
131,143.976
132,143.915
133,144.266
134,144.023
135,144.23
136,144.045
137,144.2
138,143.403
139,144.046
140,144.651
141,143.961
142,143.953
143,143.998
144,144.809
145,143.495
146,143.992
147,143.195
148,144.014
149,144.001
150,143.985
151,144.034
152,143.996
153,144.665
154,144.028
155,143.999
156,144.005
157,143.353
158,144.153
159,144.008
160,144.414
161,144.008
162,144.16
163,143.493
164,144.019
165,143.182
166,144.063
167,144.04
168,144.059
169,143.989
170,143.948
171,143.948
172,144.021
173,143.954
174,144
175,143.978
176,144.628
177,144.027
178,143.97
179,143.99
180,144.007
181,143.988
182,144.058
183,143.33
184,143.997
185,143.793
186,143.953
187,144.646
188,144.027
189,144.418
190,143.749
191,144.014
192,144.014
193,143.961
194,143.931
195,144.005
196,143.966
197,144.001
198,144.611
199,143.363
200,143.996
201,143.694
202,144.055
203,144.001
204,144.008
205,144.603
206,144.014
207,144.832
208,143.964
209,144.006
210,143.694
211,143.991
212,143.972
213,144.031
214,143.975
215,143.428
216,140.716
217,142.427
218,143.914
219,143.494
220,144.008
221,144.024
222,143.987
223,144.508
224,143.967
225,144.881
226,143.757
227,144.008
228,143.392
229,144.002
230,143.964
231,143.977
232,143.909
233,144.036
234,144.035
235,144.025
236,144.015
237,143.46
238,144.058
239,144.041
240,143.964
241,144.006
242,143.948
243,144.601
244,144.024
245,144.663
246,144.025
247,143.812
248,144.023
249,144.048
250,144.236
251,143.986
252,144.03
253,143.997
254,144.033
255,144.019
256,144.037
257,143.998
258,143.984
259,144.144
260,143.767
261,144.333
262,143.541
263,144.017
264,143.335
265,144.01
266,143.966
267,144.028
268,144.003
269,144.003
270,144.322
271,144.005
272,143.969
273,143.704
274,144.007
275,144.581
276,147.479
277,146.228
278,144.076
279,144.529
280,143.961
281,143.991
282,143.595
283,144.003
284,144.045
285,143.927
286,144.108
287,143.941
288,144.634
289,143.995
290,144.065
291,143.637
292,143.891
293,143.983
294,143.939
295,143.954
296,144.053
297,144.529
298,143.996
299,143.955
