Index,SSAO-Light,HBAO-Light,GTAO-Light
213,130.32,89.4054,143.928
214,130.567,89.9819,143.473
215,129.969,89.7897,144.145
216,128.05,89.6145,143.378
217,129.481,89.6874,145.239
218,130.983,89.591,144.178
219,130.314,89.5721,143.462
220,130.892,89.5218,144.558
221,130.937,89.3551,144.31
222,130.51,89.7693,145.103
223,130.876,89.5467,143.739
224,131.344,89.7988,145.658
225,131.33,89.5321,144.476
226,130.753,89.2265,144.046
227,130.844,89.4269,143.202
228,131.156,89.6074,144.163
229,130.785,89.6501,143.788
230,130.746,90.9179,144.985
231,131.131,90.0694,144.482
232,131.364,89.3748,143.232
233,131.109,89.569,144.061
234,130.743,89.6929,143.987
235,130.866,89.3603,145.114
236,130.529,89.3631,143.683
237,132.694,89.2862,143.414
238,130.667,89.4874,144.461
239,146.834,89.6253,143.591
240,145.797,89.4529,143.701
241,146.127,89.518,143.958
242,145.434,89.4304,144.062
243,148.603,89.4007,143.512
244,148.8,89.2533,144.759
245,148.009,89.2114,142.74
246,147.032,89.3,143.468
247,144.669,89.1209,143.454
248,146.102,88.5341,143.995
249,144.006,89.132,144.771
250,145.031,87.4064,143.88
251,144.45,88.6151,144.721
252,143.754,89.1208,143.678
253,144.99,89.0618,144.512
254,143.834,89.0817,144.398
255,143.882,88.7581,143.777
256,143.548,88.6884,144.138
257,143.954,88.8407,144.22
258,144.239,88.7961,144.672
259,144.158,87.7076,143.627
260,143.033,88.6117,144.107
261,143.827,88.6989,143.37
262,144.331,88.6868,142.959
263,143.985,89.0192,143.689
264,144.927,88.6326,144.059
265,143.954,88.7918,144.776
266,144.362,88.5213,144.144
267,143.199,88.1259,144.856
268,144.005,88.3623,143.11
269,143.783,88.4367,144.07
270,143.947,88.5099,144.858
271,144.585,88.0714,144.645
272,144.04,88.44,143.942
273,143.342,88.6958,143.785
274,143.408,88.2074,143.283
275,145.032,88.296,142.759
276,146.055,88.4486,144.526
277,145.512,88.0651,143.052
278,143.662,88.0965,143.833
279,144.591,88.1218,144.108
280,143.431,88.0025,144.621
281,144.125,88.0929,144
282,144.537,87.1695,144.04
283,143.808,87.9786,144.566
284,143.174,87.8743,143.853
285,144.038,87.988,143.185
286,142.713,88.3241,143.906
287,143.62,87.986,144.897
288,144.054,87.6637,143.97
289,143.537,87.2545,144.292
290,143.655,85.9567,143.461
291,144.09,86.4292,143.962
292,142.674,87.5019,144.043
293,144.032,85.4091,143.213
294,143.259,86.6871,143.995
295,144.137,87.3698,143.93
296,144.513,87.2767,145.181
297,143.831,86.7599,143.857
298,145.027,87.0884,144.094
299,144.23,86.5583,144.299
