Index,SSAO-Mean Blur,HBAO-Mean Blur,GTAO-Mean Blur,,SSAO-Box Blur,HBAO-Box Blur,GTAO-Box Blur,,,,,,,,
83,144.045,84.7611,143.273,,144.034,91.0711,143.881,,,,,,,,
84,143.994,85.0667,144.269,,144.581,91.579,144.166,,,,,,,,
85,142.721,84.7899,143.358,,144.03,91.7673,144.795,,,,,,,,
86,143.392,84.7757,144.824,,143.984,91.6883,144.542,,,,,,,,
87,144.112,84.7874,143.453,,143.444,91.3581,143.672,,,,,,,,
88,143.819,84.8128,144.395,,144.006,91.35,142.917,,,,,,,,
89,144.011,85.004,143.113,,144.826,90.5812,143.532,,,,,,,,
90,143.526,85.1058,144.028,,144.667,91.5495,143.367,,,,,,,,
91,144.082,85.0636,144.401,,143.977,91.1983,143.774,,,,,,,,
92,143.318,85.4613,143.499,,143.961,91.562,143.059,,,,,,,,
93,143.796,84.6256,144.526,,144.295,91.407,143.972,,,,,,,,
94,143.982,85.0381,144.098,,144.028,91.4005,143.831,,,,,,,,
95,143.939,85.2027,144.049,,144.286,91.7458,143.832,,,,,,,,
96,143.524,84.3354,143.775,,143.67,90.5957,143.974,,,,,,,,
97,144.038,84.5812,144.659,,143.974,91.4409,143.985,,,,,,,,
98,144.576,84.752,144.81,,143.981,91.3718,144.523,,,,,,,,
99,144.068,84.6925,144.095,,144.021,91.6664,143.656,,,,,,,,
100,144.469,84.7191,144.911,,144.439,91.4114,143.834,,,,,,,,
101,143.637,85.898,144.072,,144.032,91.61,143.727,,,,,,,,
102,143.737,85.234,146.125,,143.999,91.7777,144.312,,,,,,,,
103,142.879,85.4728,144.923,,143.979,91.4363,144.071,,,,,,,,
104,143.435,85.1117,144.436,,143.995,91.2279,144.241,,,,,,,,
105,145.261,85.6609,142.456,,143.98,92.2782,144.239,,,,,,,,
106,144.019,85.0717,144.364,,143.975,91.9565,143.563,,,,,,,,
107,144.467,85.1037,143.024,,143.968,91.7258,144.161,,,,,,,,
108,144.061,85.0035,144.032,,144.008,83.7681,143.547,,,,,,,,
109,143.987,85.0711,141.206,,144.096,84.3826,143.966,,,,,,,,
110,144.637,85.1963,142.754,,144.012,85.0395,143.764,,,,,,,,
111,144.009,85.1264,144.054,,144.655,84.8194,143.034,,,,,,,,
112,143.581,85.0065,144.054,,143.991,84.2358,144.144,,,,,,,,
113,142.075,85.3202,144.153,,144.019,84.5624,144.222,,,,,,,,
114,142.49,85.4315,143.768,,143.994,85.566,144.876,,,,,,,,
115,142.351,85.3124,144.366,,144.026,85.9499,143.404,,,,,,,,
116,142.362,85.3185,143.539,,144.01,86.1536,144.143,,,,,,,,
117,142.348,85.25,144.295,,144.014,85.8002,143.806,,,,,,,,
118,143.156,85.2186,144.761,,144.201,85.6343,143.83,,,,,,,,
119,142.416,85.358,144.222,,144.008,86.3535,144.076,,,,,,,,
120,142.323,84.7029,145.109,,144.445,85.6836,144.077,,,,,,,,
121,142.175,85.6103,144.055,,144.013,85.7719,144.963,,,,,,,,
122,142.635,85.5604,143.897,,144.018,86.1445,143.585,,,,,,,,
123,142.179,85.4845,143.923,,143.691,85.5592,144.631,,,,,,,,
124,142.3,85.4491,143.743,,143.996,85.9296,143.847,,,,,,,,
125,143.08,85.6917,143.375,,144.159,85.9031,144.918,,,,,,,,
126,142.323,85.6489,143.901,,144.003,86.5635,145.206,,,,,,,,
127,142.662,85.6764,143.88,,143.984,86.2153,143.834,,,,,,,,
128,142.036,84.8271,143.99,,143.968,85.9852,143.201,,,,,,,,
129,142.145,85.2673,144,,144.356,86.1814,143.328,,,,,,,,
130,142.123,85.4005,143.886,,144.006,86.2991,144.298,,,,,,,,
131,142.254,85.3285,144.201,,143.999,84.2002,143.444,,,,,,,,
132,142.809,85.6079,143.901,,144.239,85.3483,144.45,,,,,,,,
133,142.309,85.7308,144.576,,143.97,86.27,143.731,,,,,,,,
134,142.847,85.5515,143.224,,144.024,84.7622,144.059,,,,,,,,
135,140.853,85.5063,144.054,,144.049,85.6089,144.077,,,,,,,,
136,141.792,85.5844,144.135,,144.266,86.4514,144.094,,,,,,,,
137,142.127,85.9055,144.131,,143.979,86.2199,143.333,,,,,,,,
138,138.216,85.9788,144.344,,143.925,86.0689,144.083,,,,,,,,
139,139.835,85.4321,144.069,,144.021,86.3603,144.007,,,,,,,,
140,138.852,85.7032,143.436,,143.996,86.7979,143.372,,,,,,,,
141,135.984,85.7887,141.485,,144.025,86.5454,144.532,,,,,,,,
142,137.798,85.6105,144.547,,144.003,86.5811,144.067,,,,,,,,
143,139.738,85.7665,143.911,,143.495,86.5342,144.426,,,,,,,,
144,139.625,85.7147,143.76,,144.004,86.2718,143.653,,,,,,,,
145,141.067,85.9095,143.699,,143.142,86.2925,143.578,,,,,,,,
146,140.606,86.0407,141.028,,144.062,86.4062,143.637,,,,,,,,
147,139.757,86.0463,143.28,,144.559,86.0602,144.962,,,,,,,,
148,139.987,85.773,143.182,,143.994,85.8114,145.065,,,,,,,,
149,140.352,86.2115,143.14,,143.967,87.3144,144.422,,,,,,,,
150,140.262,85.8548,143.81,,143.59,86.4622,144.392,,,,,,,,
151,139.403,85.8584,141.481,,144.012,86.336,144.43,,,,,,,,
152,139.595,85.6945,142.765,,143.484,87.0713,144.594,,,,,,,,
153,139.68,86.2284,144.084,,143.997,86.7096,143.515,,,,,,,,
154,140.156,85.7461,142.361,,143.986,86.4836,143.978,,,,,,,,
155,140.077,85.6268,143.478,,144.034,86.4613,143.913,,,,,,,,
156,140.468,86.5051,142.605,,144.328,87.0741,144.138,,,,,,,,
157,139.953,86.2417,142.75,,143.628,86.1983,144.199,,,,,,,,
158,140.139,86.1216,143.101,,144.036,86.3708,144.104,,,,,,,,
159,139.812,86.3056,135.969,,143.995,86.2885,143.914,,,,,,,,
160,139.591,86.19,136.839,,144.018,86.3149,144.009,,,,,,,,
161,140.164,86.1301,137.328,,144.005,86.2489,144.222,,,,,,,,
162,140.06,85.9355,139.198,,143.98,86.433,143.17,,,,,,,,
163,140.866,85.7921,138.603,,144.011,86.6964,144.245,,,,,,,,
164,140.343,85.9811,139.089,,143.987,86.6667,143.48,,,,,,,,
165,139.918,86.0518,140.092,,144.008,86.4191,144.107,,,,,,,,
166,140.093,86.0372,139.033,,144.012,86.3249,144.019,,,,,,,,
167,140.016,85.9354,140.442,,144.003,85.9861,144.127,,,,,,,,
168,140.044,85.7604,138.95,,143.992,94.4093,144.186,,,,,,,,
169,139.575,86.2201,142.178,,144.024,93.8328,143.4,,,,,,,,
170,139.866,86.2147,140.395,,143.179,92.8587,143.903,,,,,,,,
171,139.372,86.0291,139.084,,143.981,92.5778,144.965,,,,,,,,
172,140.445,86.468,139.35,,143.998,94.4764,143.945,,,,,,,,
173,141.833,86.0798,139.5,,143.534,93.3986,144.034,,,,,,,,
174,142.08,86.2071,139.449,,143.977,92.0854,143.837,,,,,,,,
175,141.657,86.0338,139.03,,143.803,91.559,144.557,,,,,,,,
176,141.644,85.7669,139.423,,144.013,92.1119,142.844,,,,,,,,
177,141.669,86.1244,138.936,,143.674,91.7545,143.032,,,,,,,,
178,141.641,86.1485,139.245,,144.016,91.9172,143.832,,,,,,,,
179,137.646,85.9188,138.478,,143.716,91.5217,144.058,,,,,,,,
180,137.74,87.0447,139.44,,143.996,91.7751,143.642,,,,,,,,
181,139.373,86.7915,138.728,,143.992,91.7676,143.979,,,,,,,,
182,139.34,86.301,139.215,,144.013,91.6232,144.044,,,,,,,,
183,139.359,86.3306,139.04,,144.341,92.3355,143.902,,,,,,,,
184,139.202,86.3146,139.557,,144.025,91.4219,144.109,,,,,,,,
185,139.376,86.6076,139.707,,143.991,91.4647,143.284,,,,,,,,
186,138.731,85.9972,139.031,,143.573,90.9838,143.567,,,,,,,,
187,139.367,86.0993,139.48,,143.996,90.9281,143.709,,,,,,,,
188,139.493,87.1411,139.299,,143.988,91.2358,144.578,,,,,,,,
189,138.816,86.8004,139.515,,144.016,91.5027,144.197,,,,,,,,
190,139.405,86.3275,139.756,,143.998,90.9987,143.293,,,,,,,,
191,139.377,86.064,139.167,,144.048,93.1032,144.273,,,,,,,,
192,139.368,86.4606,139.587,,144.436,91.9914,144.001,,,,,,,,
193,139,86.5628,139.246,,143.999,91.0724,144.001,,,,,,,,
194,139.727,86.4913,139.996,,143.983,92.5189,144.391,,,,,,,,
195,140.323,86.2319,138.863,,143.971,91.1775,144.084,,,,,,,,
196,140.449,86.3991,139.176,,144,90.3745,143.52,,,,,,,,
197,139.358,85.9928,139.446,,143.532,90.5477,144.493,,,,,,,,
198,142.085,85.8626,139.425,,144.059,90.7183,142.945,,,,,,,,
199,141.972,86.2919,139.258,,143.725,90.6633,143.714,,,,,,,,
200,142.701,86.1383,139.56,,143.998,90.7832,144.228,,,,,,,,
201,143.904,86.1039,141.82,,144.007,90.3305,143.908,,,,,,,,
202,143.119,86.2694,139.537,,143.682,89.9199,143.796,,,,,,,,
203,141.7,86.1925,140.164,,144.497,90.2767,144.107,,,,,,,,
204,141.041,86.6225,139.578,,143.473,90.4794,144.394,,,,,,,,
205,141.619,86.2525,140.248,,144.851,89.7032,143.495,,,,,,,,
206,139.913,85.7457,142.175,,143.97,89.9614,143.906,,,,,,,,
207,138.937,85.6804,140.405,,144.016,90.532,143.236,,,,,,,,
208,139.15,86.5771,139.766,,143.979,90.8209,143.891,,,,,,,,
209,140.637,85.8702,140.733,,144.021,90.0067,143.554,,,,,,,,
210,141.67,86.3194,139.513,,144.423,90.1532,144.072,,,,,,,,
211,141.853,85.3031,141.833,,143.985,90.4521,143.695,,,,,,,,
212,141.995,86.4393,140.987,,144.538,90.0207,143.598,,,,,,,,
213,142.048,86.2145,138.869,,143.237,89.8005,144.468,,,,,,,,
214,140.906,86.2221,141.769,,143.643,90.1958,143.985,,,,,,,,
215,141.625,86.6821,139.681,,143.175,89.541,144.042,,,,,,,,
216,140.283,86.3673,140.678,,143.924,89.7393,143.824,,,,,,,,
217,141.067,86.1585,140.338,,144.387,90.1225,143.749,,,,,,,,
