Index,frame
0,140.031
1,139.977
2,141.683
3,140.63
4,139.902
5,140.047
6,141.492
7,141.625
8,141.633
9,141.636
10,141.66
11,141.655
12,141.491
13,141.64
14,141.286
15,141.666
16,143.458
17,142.274
18,142.372
19,142.348
20,142.524
21,141.96
22,141.367
23,145.99
24,144.201
25,144.204
26,145.875
27,143.94
28,144.73
29,143.996
30,143.999
31,144.027
32,143.56
33,143.895
34,144.015
35,144.015
36,143.999
37,144.019
38,142.422
39,143.703
40,144.489
41,143.605
42,142.733
43,143.518
44,143.926
45,143.976
46,144.075
47,144.637
48,144.042
49,147.587
50,145.16
51,142.77
52,143.535
53,143.971
54,143.978
55,143.963
56,143.898
57,144.035
58,144.023
59,143.579
60,145.707
61,145.589
62,143.919
63,145.052
64,144.657
65,145.793
66,144.114
67,144.033
68,143.964
69,143.993
70,143.966
71,144.025
72,144.073
73,143.991
74,144.271
75,144.004
76,144.769
77,144.007
78,143.984
79,142.743
80,139.594
81,138.719
82,139.578
83,139.339
84,139.328
85,139.586
86,139.343
87,138.645
88,138.341
89,139.367
90,138.051
91,139.328
92,139.058
93,139.17
94,139.373
95,138.719
96,139.385
97,139.347
98,141.201
99,139.65
100,139.315
101,139.659
102,140.201
103,139.819
104,138.745
105,139.198
106,139.342
107,139.395
108,139.354
109,139.362
110,139.887
111,139.931
112,139.798
113,138.672
114,139.364
115,138.265
116,138.002
117,139.08
118,139.321
119,139.11
120,138.44
121,139.542
122,139.416
123,139.21
124,140.463
125,139.37
126,139.41
127,139.327
128,139.35
129,139.018
130,139.393
131,139.357
132,139.413
133,139.007
134,139.418
135,139.343
136,139.328
137,139.345
138,139.377
139,140.567
140,143.118
141,145.433
142,144.028
143,143.994
144,144.022
145,144.005
146,144.049
147,143.47
148,145.102
149,143.165
150,144.139
151,143.96
152,144.79
153,144.287
154,143.957
155,144.697
156,143.97
157,144.026
158,143.959
159,144.052
160,143.149
161,144.082
162,144.426
163,143.906
164,144.68
165,143.928
166,144.021
167,143.587
168,143.975
169,142.751
170,143.092
171,143.887
172,143.24
173,143.905
174,142.517
175,144.411
176,140.281
177,138.446
178,139.709
179,141.714
180,141.863
181,136.239
182,137.367
183,138.191
184,138.467
185,138.194
186,138.746
187,139.263
188,139.048
189,138.688
190,137.765
191,139.348
192,138.465
193,138.316
194,139.397
195,137.265
196,135.821
197,137.65
198,139.368
199,137.793
200,139.281
201,138.38
202,139.37
203,138.762
204,139.315
205,138.087
206,139.306
207,140.591
208,139.359
209,140.184
210,140.562
211,139.372
212,139.347
213,139.366
214,139.298
215,139.344
216,139.345
217,139.071
218,139.352
219,139.347
220,140.161
221,139.335
222,139.311
223,139.434
224,139.379
225,139.564
226,138.832
227,139.724
228,138.888
229,140.57
230,139.581
231,140.025
232,140.073
233,139.874
234,140.774
235,139.556
236,144.621
237,145.26
238,143.64
239,142.276
240,142.386
241,147.514
242,146.17
243,145.355
244,143.865
245,145.236
246,144.649
247,144.095
248,144.34
249,145.092
250,145.716
251,143.958
252,144.978
253,145.524
254,143.963
255,145.669
256,148.02
257,145.822
258,143.95
259,145.525
260,144.658
261,144.903
262,143.906
263,144.653
264,143.708
265,145.432
266,144.011
267,143.96
268,144.012
269,143.945
270,144.018
271,143.999
272,143.984
273,141.767
274,143.054
275,144.037
276,143.998
277,144.272
278,144.021
279,143.984
280,144.025
281,143.996
282,144.014
283,143.974
284,143.992
285,144.057
286,144.522
287,143.968
288,144.554
289,143.983
290,144.745
291,143.619
292,143.981
293,144.262
294,143.988
295,144.531
296,143.959
297,144.013
298,143.524
299,143.947
